context,experiment,body_part_count,body_part_mode,body_part,model,macro_f1_mean,context_label,model_label,rank
baseline,only_thigh,1,single,thigh,random_forest,0.6730502210221231,Baseline,Random Forest,177
mic,only_thigh_plus_mic,1,single,thigh,random_forest,0.6727674310919035,Baseline + microphone,Random Forest,178
gps,only_chest_plus_gps,1,single,chest,svm,0.6721097115151536,Baseline + GPS,SVM,179
baseline,only_head,1,single,head,xgboost,0.6705746185510549,Baseline,XGBoost,180
mic,only_thigh_plus_mic,1,single,thigh,svm,0.670518139507839,Baseline + microphone,SVM,181
gps,only_head_plus_gps,1,single,head,random_forest,0.6695681126578447,Baseline + GPS,Random Forest,182
gps,only_thigh_plus_gps,1,single,thigh,svm,0.6692864954790452,Baseline + GPS,SVM,183
mic,only_head_plus_mic,1,single,head,svm,0.6680111475996491,Baseline + microphone,SVM,184
mic,only_thigh_plus_mic,1,single,thigh,xgboost,0.664458285912256,Baseline + microphone,XGBoost,185
all_context,only_chest_plus_all,1,single,chest,xgboost,0.6617920912765388,Baseline + all context,XGBoost,186
light,only_thigh_plus_light,1,single,thigh,random_forest,0.6609155764824111,Baseline + light,Random Forest,187
baseline,only_head,1,single,head,svm,0.6574487159934134,Baseline,SVM,188
light,only_thigh_plus_light,1,single,thigh,svm,0.6560476661778221,Baseline + light,SVM,189
gps,only_head_plus_gps,1,single,head,xgboost,0.6559380658726119,Baseline + GPS,XGBoost,190
light,only_chest_plus_light,1,single,chest,xgboost,0.6493837659543528,Baseline + light,XGBoost,191
baseline,only_thigh,1,single,thigh,xgboost,0.6430130298612211,Baseline,XGBoost,192
light,only_head_plus_light,1,single,head,svm,0.640165393871279,Baseline + light,SVM,193
gps,only_head_plus_gps,1,single,head,svm,0.6380007753831769,Baseline + GPS,SVM,194
all_context,only_head_plus_all,1,single,head,svm,0.6230195235370083,Baseline + all context,SVM,195
